Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,Saint Seiya: The Hades Chapter - Recaps,7.67,6314,1318,10,Special,2,Finished Airing,2003,,,"None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Sci-Fi",,Shounen,54 min. per ep.,PG-13 - Teens 13 or older,17
Kindaichi Shounen no Jikenbo Returns 2nd Season,,7.66,5969,1319,12,TV,22,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",Fall 2015,Saturdays at 17:30 (JST),Yomiuri Telecasting,"None found, add some",Toei Animation,Manga,Mystery,,Shounen,24 min. per ep.,R - 17+ (violence & profanity),28
Kuroshitsuji,Black Butler,7.66,121,1320,1,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:25 (JST),"Aniplex,       Square Enix,       Yomiko Advertising,       Mainichi Broadcasting System,       Movic,       Trinity Sound,       Hakuhodo DY Media Partners","Funimation,       Aniplex of America",A-1 Pictures,Manga,"Action, Fantasy, Mystery","Historical, Mythology",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"22,735"
Rilakkuma to Kaoru-san,Rilakkuma and Kaoru,7.66,5305,1321,16,ONA,13,Finished Airing,"Apr 19, 2019",,,Netflix,"None found, add some",dwarf,Other,Slice of Life,"Anthropomorphic, Iyashikei",Kids,11 min. per ep.,PG - Children,180
Seto no Hanayome,My Bride is a Mermaid,7.66,732,1322,329,TV,26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",Spring 2007,Mondays at 02:00 (JST),"TV Tokyo,       Square Enix,       Sotsu",Funimation,"Gonzo,       AIC",Manga,"Comedy, Fantasy, Romance","Organized Crime, Parody, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,988"
Shirobako Movie,,7.66,3091,1323,51,Movie,1,Finished Airing,"Feb 29, 2020",,,"Sotsu,       Infinite,       Imagine",Eleven Arts,P.A. Works,Original,"Comedy, Drama","Adult Cast, Otaku Culture, Workplace",,2 hr.,PG-13 - Teens 13 or older,72
Shoujo☆Kageki Revue Starlight,Revue Starlight,7.66,2269,1324,88,TV,12,Finished Airing,"Jul 13, 2018 to Sep 28, 2018",Summer 2018,Fridays at 01:28 (JST),"Pony Canyon,       TBS,       Bushiroad,       Overlap,       Nelke Planning,       APDREAM",Sentai Filmworks,Kinema Citrus,Original,Drama,"Music, Performing Arts, School",,24 min. per ep.,PG-13 - Teens 13 or older,"1,510"
Tenkuu no Escaflowne,The Vision of Escaflowne,7.66,1473,1325,160,TV,26,Finished Airing,"Apr 2, 1996 to Sep 24, 1996",Spring 1996,Tuesdays at 18:00 (JST),"TV Tokyo,       Bandai Visual","Funimation,       Bandai Entertainment",Sunrise,Original,"Action, Adventure, Fantasy, Romance, Suspense","Isekai, Love Polygon, Mecha, Psychological",,24 min. per ep.,PG-13 - Teens 13 or older,"2,157"
Toaru Kagaku no Railgun,A Certain Scientific Railgun,7.66,359,1326,611,TV,24,Finished Airing,"Oct 3, 2009 to Mar 20, 2010",Fall 2009,Saturdays at 01:30 (JST),"Geneon Universal Entertainment,       Movic,       AT-X,       ASCII Media Works",Funimation,J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",Super Power,,24 min. per ep.,PG-13 - Teens 13 or older,"5,909"
Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers: Christmas Showdown,7.66,663,1327,357,TV,13,Finished Airing,"Jan 8, 2023 to Apr 2, 2023",Winter 2023,Sundays at 02:08 (JST),"Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       AT-X,       Ultra Super Pictures,       Studio Mausu,       Sammy","None found, add some",LIDENFILMS,Manga,"Action, Drama, Supernatural","Delinquents, Time Travel",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"2,522"
