Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Durarara!!,,8.10,90,495,1,TV,24,Finished Airing,"Jan 8, 2010 to Jun 25, 2010","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       ASCII Media Works",Aniplex of America,Brain's Base,Light novel,"Action, Mystery, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"30,085",,Winter 2010,Fridays at 01:25 (JST)
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,,8.10,3800,496,34,Special,1,Finished Airing,"Nov 3, 2015","TV Tokyo,       Dentsu","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy","Gag Humor, Historical, Parody, Samurai",12 min.,PG-13 - Teens 13 or older,37,Shounen,,
Detroit Metal City,,8.10,1149,494,213,OVA,12,Finished Airing,"Aug 8, 2008 to Oct 28, 2008","Sony Music Entertainment,       Beyond C.",Sentai Filmworks,Studio 4°C,Manga,Comedy,"Adult Cast, Gag Humor, Music, Parody, Showbiz",14 min. per ep.,R - 17+ (violence & profanity),"3,297",Seinen,,
Jigokuraku,Hell's Paradise,8.10,297,498,686,TV,13,Finished Airing,"Apr 1, 2023 to Jul 1, 2023",Twin Engine,"None found, add some",MAPPA,Manga,"Action, Adventure, Fantasy","Gore, Historical, Samurai",24 min. per ep.,R - 17+ (violence & profanity),"7,577",Shounen,Spring 2023,Saturdays at 23:00 (JST)
Initial D Fifth Stage,,8.10,1535,497,151,TV,14,Finished Airing,"Nov 4, 2012 to May 10, 2013","Avex Entertainment,       Animax","None found, add some",SynergySP,Manga,"Action, Drama",Racing,27 min. per ep.,PG-13 - Teens 13 or older,767,Seinen,Fall 2012,Unknown
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,JoJo's Bizarre Adventure: Stardust Crusaders,8.10,114,499,1,TV,24,Finished Airing,"Apr 5, 2014 to Sep 13, 2014","Yomiko Advertising,       Warner Bros. Japan,       KlockWorx,       Medicos Entertainment,       Shueisha",VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"22,286",Shounen,Spring 2014,Saturdays at 00:30 (JST)
Kill la Kill,,8.03,55,601,1,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014","Aniplex,       Dentsu,       Kadokawa Shoten,       Mainichi Broadcasting System,       Movic,       Ultra Super Pictures,       Lucent Pictures Entertainment",Aniplex of America,Trigger,Original,"Action, Comedy, Fantasy, Ecchi","School, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,"37,908",,Fall 2013,Fridays at 02:05 (JST)
"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,8.03,466,602,484,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022","TV Tokyo,       Dentsu,       Shogakukan-Shueisha Productions,       Half H.P Studio,       Nippon Columbia","None found, add some",OLM,Manga,Comedy,"Romantic Subtext, School",23 min. per ep.,PG-13 - Teens 13 or older,"3,871",Shounen,Spring 2022,Thursdays at 00:00 (JST)
Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!,8.10,40,500,1,TV,10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016","Half H.P Studio,       Nippon Columbia,       KlockWorx,       Sony Music Communications,       Toranoana,       81 Produce,       Kadokawa Media House,       Kadokawa","Discotek Media,       Crunchyroll",Studio Deen,Light novel,"Adventure, Comedy, Fantasy","Isekai, Parody",23 min. per ep.,PG-13 - Teens 13 or older,"45,427",,Winter 2016,Thursdays at 01:05 (JST)
Lovely★Complex,Lovely Complex,8.03,370,603,595,TV,24,Finished Airing,"Apr 7, 2007 to Sep 29, 2007","TBS,       TAP,       Sony Music Entertainment,       Shueisha,       Nichion",Discotek Media,Toei Animation,Manga,"Comedy, Romance",School,24 min. per ep.,PG-13 - Teens 13 or older,"10,265",Shoujo,Spring 2007,Unknown
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,Case Closed Movie 03: The Last Wizard of the Century,8.03,2686,604,66,Movie,1,Finished Airing,"Apr 17, 1999","None found, add some",Funimation,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 40 min.,PG-13 - Teens 13 or older,81,Shounen,,
Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Case Closed Movie 04: Captured In Her Eyes,8.03,2779,605,63,Movie,1,Finished Airing,"Apr 22, 2000",Polygram Japan,Funimation,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 39 min.,PG-13 - Teens 13 or older,97,Shounen,,
Meitantei Conan Movie 10: Tantei-tachi no Requiem,Detective Conan Movie 10: The Private Eyes' Requiem,8.03,2935,606,56,Movie,1,Finished Airing,"Apr 15, 2006","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 51 min.,PG-13 - Teens 13 or older,51,Shounen,,
