Name,English_title,Score,Popularity,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics,Positive_ratio,Total_reviews
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,8.66,181,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021","Frontier Works,       TOHO,       TOHO animation,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment",Funimation,Studio Bind,Light novel,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",23 min. per ep.,R - 17+ (violence & profanity),"18,639",Fall 2021,Mondays at 00:00 (JST),,0.74,160
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night: Heaven's Feel - III. Spring Song,8.66,674,Movie,1,Finished Airing,15-Aug-20,"Aniplex,       Notes,       Kadokawa",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",,2 hr. 2 min.,R - 17+ (violence & profanity),"8,081",,,,0.67,109
Made in Abyss,,8.65,94,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017","AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,25 min. per ep.,R - 17+ (violence & profanity),"44,390",Summer 2017,Fridays at 21:30 (JST),,0.76,497
"""Oshi no Ko""",[Oshi No Ko],8.65,239,TV,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023","Shueisha,       CyberAgent,       Kadokawa",Sentai Filmworks,Doga Kobo,Manga,"Award Winning, Drama, Supernatural","Reincarnation, Showbiz",30 min. per ep.,PG-13 - Teens 13 or older,"27,728",Spring 2023,Wednesdays at 23:00 (JST),Seinen,0.62,351
Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,8.65,1306,TV,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023","WOWOW,       Lantis,       Movic,       Glovision,       Crunchyroll,       Sunrise Music,       Kadokawa,       Sony Music Solutions,       Bandai Namco Music Live","None found, add some",Bones,Manga,"Action, Mystery, Supernatural","Adult Cast, Detective, Organized Crime, Super Power, Vampire",23 min. per ep.,R - 17+ (violence & profanity),"2,272",Summer 2023,Wednesdays at 23:00 (JST),Seinen,0.53,32
Shigatsu wa Kimi no Uso,Your Lie in April,8.64,23,TV,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015","Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Lawson HMV Entertainment,       Kyoraku Industrial Holdings,       Kansai Telecasting",Aniplex of America,A-1 Pictures,Manga,"Drama, Romance","Love Polygon, Music, School",22 min. per ep.,PG-13 - Teens 13 or older,"86,187",Fall 2014,Fridays at 01:20 (JST),Shounen,0.71,1082
Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,8.64,997,TV,13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"2,009",Winter 2012,Tuesdays at 01:30 (JST),Shoujo,0.82,17
Tengen Toppa Gurren Lagann,Gurren Lagann,8.63,64,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007","TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai","ADV Films,       Bandai Entertainment,       Aniplex of America",Gainax,Original,"Action, Adventure, Award Winning, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,"78,549",Spring 2007,Sundays at 08:30 (JST),,0.72,609
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War Season 2,8.63,97,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020","Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",24 min. per ep.,PG-13 - Teens 13 or older,"18,794",Spring 2020,Saturdays at 23:30 (JST),Seinen,0.69,214
Made in Abyss: Retsujitsu no Ougonkyou,Made in Abyss: The Golden City of the Scorching Sun,8.63,505,TV,12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022","AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,25 min. per ep.,R - 17+ (violence & profanity),"6,090",Summer 2022,Wednesdays at 22:30 (JST),,0.62,121
Shiguang Dailiren II,Link Click Season 2,8.63,1943,ONA,12,Finished Airing,"Jul 14, 2023 to Sep 22, 2023","bilibili,       BeDream","None found, add some",LAN Studio,Original,"Drama, Mystery, Supernatural, Suspense","Adult Cast, Time Travel",24 min. per ep.,R - 17+ (violence & profanity),"1,440",,,,0.71,41
Death Note,,8.62,2,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007","VAP,       Nippon Television Network,       Shueisha,       D.N. Dream Partners",VIZ Media,Madhouse,Manga,"Supernatural, Suspense",Psychological,23 min. per ep.,R - 17+ (violence & profanity),"174,443",Fall 2006,Wednesdays at 00:56 (JST),Shounen,0.75,1270
Ping Pong the Animation,,8.62,588,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014","Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Award Winning, Drama, Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"16,021",Spring 2014,Fridays at 00:50 (JST),Seinen,0.75,200
Shingeki no Kyojin Season 3,Attack on Titan Season 3,8.62,18,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",23 min. per ep.,R - 17+ (violence & profanity),"20,777",Summer 2018,Mondays at 00:35 (JST),Shounen,0.65,127
Haikyuu!! Second Season,Haikyu!! 2nd Season,8.62,87,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016","Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"15,722",Fall 2015,Sundays at 02:58 (JST),Shounen,0.78,81
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Made in Abyss: Dawn of the Deep Soul,8.61,485,Movie,1,Finished Airing,17-Jan-20,"AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,1 hr. 45 min.,R - 17+ (violence & profanity),"3,621",,,,0.6,122
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,8.61,1288,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,"1,092",Spring 2017,Wednesdays at 01:35 (JST),Shoujo,0.95,20
Jujutsu Kaisen,,8.6,14,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021","Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap",VIZ Media,MAPPA,Manga,"Action, Award Winning, Fantasy",School,23 min. per ep.,R - 17+ (violence & profanity),"91,057",Fall 2020,Saturdays at 01:25 (JST),Shounen,0.66,496
Cyberpunk: Edgerunners,,8.6,260,ONA,10,Finished Airing,13-Sep-22,CD Projekt Red,"None found, add some",Trigger,Game,"Action, Sci-Fi","Gore, Organized Crime",25 min. per ep.,R+ - Mild Nudity,"25,510",,,,0.65,420
Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,8.6,358,Movie,1,Finished Airing,06-Feb-10,"Kadokawa Shoten,       Animation Do","Funimation,       Bandai Entertainment",Kyoto Animation,Light novel,"Award Winning, Mystery, Sci-Fi, Supernatural",School,2 hr. 41 min.,PG-13 - Teens 13 or older,"13,575",,,,0.71,163
Hajime no Ippo: Rising,Fighting Spirit: Rising,8.6,933,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014","VAP,       Kodansha,       Nippon Television Network","None found, add some","Madhouse,       MAPPA",Manga,Sports,Combat Sports,22 min. per ep.,PG-13 - Teens 13 or older,"1,300",Fall 2013,Sundays at 01:35 (JST),Shounen,0.79,14
Hibike! Euphonium 3,Sound! Euphonium 3,8.6,2882,TV,13,Currently Airing,"Apr 7, 2024 to ?","Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live","None found, add some",Kyoto Animation,Novel,Drama,"Music, Performing Arts, School",24 min. per ep.,PG-13 - Teens 13 or older,368,Spring 2024,Sundays at 17:00 (JST),,0,0
Kenpuu Denki Berserk,Berserk,8.59,312,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998","VAP,       Hakusensha,       Nippon Television Network",Discotek Media,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military",23 min. per ep.,R+ - Mild Nudity,"28,014",Fall 1997,Wednesdays at 01:45 (JST),Seinen,0.71,259
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Rascal Does Not Dream of a Dreaming Girl,8.59,284,Movie,1,Finished Airing,15-Jun-19,"Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural",School,1 hr. 30 min.,PG-13 - Teens 13 or older,"10,229",,,,0.67,156
Shin Evangelion Movie:||,Evangelion: 3.0+1.0 Thrice Upon a Time,8.59,624,Movie,1,Finished Airing,08-Mar-21,"None found, add some",GKIDS,Khara,Original,"Action, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",2 hr. 35 min.,PG-13 - Teens 13 or older,"7,490",,,,0.5,20
Mushishi Zoku Shou: Suzu no Shizuku,,8.59,1742,Movie,1,Finished Airing,16-May-15,"Aniplex,       Kodansha,       Delfi Sound","None found, add some",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",47 min.,PG-13 - Teens 13 or older,221,,,Seinen,0.7,10
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.58,71,Movie,1,Finished Airing,16-Oct-20,"Aniplex,       Shueisha",Aniplex of America,ufotable,Manga,"Action, Fantasy",Historical,1 hr. 56 min.,R - 17+ (violence & profanity),"13,173",,,Shounen,0.64,250
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,8.58,1121,Movie,1,Finished Airing,22-Apr-09,Aniplex,Aniplex of America,Gainax,Original,"Action, Sci-Fi","Mecha, Space, Super Power",2 hr. 5 min.,R+ - Mild Nudity,"1,033",,,,0.7,20
Ookami Kodomo no Ame to Yuki,Wolf Children,8.57,229,Movie,1,Finished Airing,21-Jul-12,"Madhouse,       VAP,       Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       TOHO,       Hiroshima Television",Funimation,Studio Chizu,Original,"Award Winning, Fantasy, Slice of Life",Childcare,1 hr. 57 min.,PG-13 - Teens 13 or older,"11,425",,,,0.76,237
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,8.57,152,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",Organized Crime,23 min. per ep.,R - 17+ (violence & profanity),"32,043",Fall 2018,Saturdays at 01:05 (JST),Shounen,0.66,157
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Hot-Blooded,8.57,508,Movie,1,Finished Airing,19-Aug-16,"Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,1 hr. 4 min.,R - 17+ (violence & profanity),"2,352",,,,0.62,37
Natsume Yuujinchou San,Natsume's Book of Friends Season 3,8.57,969,TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011","Aniplex,       Sakura Create","NIS America, Inc.",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"1,424",Summer 2011,Tuesdays at 01:30 (JST),Shoujo,0.75,16
Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,8.56,839,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016","Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production","None found, add some",Studio Deen,Manga,Drama,"Historical, Love Polygon, Performing Arts",26 min. per ep.,PG-13 - Teens 13 or older,"5,841",Winter 2016,Saturdays at 02:25 (JST),Josei,0.77,86
Doupo Cangqiong: San Nian Zhi Yue,Fights Break Sphere: Three Year Agreement,8.56,7289,ONA,13,Finished Airing,"Oct 31, 2021 to Jan 16, 2022",Tencent Penguin Pictures,"None found, add some",Motion Magic,Novel,"Action, Fantasy",Martial Arts,24 min. per ep.,PG-13 - Teens 13 or older,184,,,,0.7,10
Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,8.56,1285,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,834,Fall 2016,Wednesdays at 01:35 (JST),Shoujo,1,8
Shingeki no Kyojin,Attack on Titan,8.55,1,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",24 min. per ep.,R - 17+ (violence & profanity),"172,623",Spring 2013,Sundays at 01:58 (JST),Shounen,0.66,894
Kimi no Suizou wo Tabetai,I Want To Eat Your Pancreas,8.55,161,Movie,1,Finished Airing,01-Sep-18,"Aniplex,       ABC Animation",Aniplex of America,Studio VOLN,Novel,"Drama, Romance",School,1 hr. 48 min.,PG-13 - Teens 13 or older,"20,925",,,,0.64,288
Nana,,8.55,306,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007","VAP,       Nippon Television Network,       Shueisha","VIZ Media,       Sentai Filmworks",Madhouse,Manga,"Drama, Romance","Adult Cast, Love Polygon, Music",22 min. per ep.,R+ - Mild Nudity,"30,380",Spring 2006,Wednesdays at 23:25 (JST),Shoujo,0.81,272
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,8.55,174,Movie,1,Finished Airing,19-Jul-97,"TV Tokyo,       Toei Animation,       Kadokawa Shoten,       Movic,       Sega,       TV Tokyo Music,       King Records,       Audio Tanaka",GKIDS,"Gainax,       Production I.G",Original,"Action, Avant Garde, Drama, Sci-Fi, Suspense","Mecha, Psychological",1 hr. 26 min.,R+ - Mild Nudity,"29,247",,,,0.5,226
Perfect Blue,,8.55,285,Movie,1,Finished Airing,28-Feb-98,"Rex Entertainment,       ONIRO",GKIDS,Madhouse,Novel,"Avant Garde, Drama, Horror, Suspense","Adult Cast, Psychological, Showbiz",1 hr. 21 min.,R+ - Mild Nudity,"19,456",,,,0.7,198
Yojouhan Shinwa Taikei,The Tatami Galaxy,8.55,502,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010","Dentsu,       Kadokawa Shoten,       Fuji TV,       TOHO,       Asmik Ace,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Fujipacific Music",Funimation,Madhouse,Novel,"Award Winning, Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",22 min. per ep.,R - 17+ (violence & profanity),"18,263",Spring 2010,Fridays at 00:45 (JST),,0.72,194
Fate/Zero 2nd Season,Fate/Zero Season 2,8.55,132,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012","Aniplex,       Nitroplus,       Seikaisha,       Notes",Aniplex of America,ufotable,Light novel,"Action, Fantasy, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"20,399",Spring 2012,Sundays at 00:00 (JST),,0.64,147
Haikyuu!! To the Top Part 2,Haikyu!! To the Top 2nd-cour,8.55,224,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020","Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"6,188",Fall 2020,Saturdays at 02:25 (JST),Shounen,0.55,87
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,JoJo's Bizarre Adventure: Stone Ocean Part 3,8.55,1178,ONA,14,Finished Airing,01-Dec-22,Warner Bros. Japan,"None found, add some",David Production,Manga,"Action, Adventure, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"2,939",,,Shounen,0.6,53
Fruits Basket 2nd Season,,8.54,432,TV,25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020","TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN",Funimation,TMS Entertainment,Manga,"Drama, Romance, Supernatural",School,23 min. per ep.,PG-13 - Teens 13 or older,"6,094",Spring 2020,Tuesdays at 01:30 (JST),Shoujo,0.74,69
Slam Dunk,,8.54,800,TV,101,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",TV Asahi,Geneon Entertainment USA,Toei Animation,Manga,Sports,"School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"7,338",Fall 1993,Saturdays at 19:30 (JST),Shounen,0.75,56
Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,8.54,987,TV,13,Finished Airing,"Jan 6, 2009 to Mar 31, 2009","Aniplex,       Nihon Ad Systems","NIS America, Inc.",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"1,434",Winter 2009,Tuesdays at 01:00 (JST),Shoujo,0.91,22
Steins;Gate 0,,8.53,198,TV,23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018","Frontier Works,       Movic,       Kadokawa",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Time Travel,23 min. per ep.,PG-13 - Teens 13 or older,"11,889",Spring 2018,Thursdays at 01:35 (JST),,0.49,190
Bakuman. 3rd Season,Bakuman. Season 3,8.53,726,TV,25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013","NHK,       Shueisha","None found, add some",J.C.Staff,Manga,"Comedy, Drama, Romance",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,"2,957",Fall 2012,Unknown,Shounen,0.76,54
Mushishi: Hihamukage,Mushi-shi: The Shadow that Devours the Sun,8.53,1634,TV Special,1,Finished Airing,04-Jan-14,"Aniplex,       Kodansha,       Delfi Sound","None found, add some",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",45 min.,PG-13 - Teens 13 or older,195,,,Seinen,0.85,13
Shoujo☆Kageki Revue Starlight Movie,Revue Starlight: The Movie,8.52,4886,Movie,1,Finished Airing,04-Jun-21,Bushiroad,Sentai Filmworks,Kinema Citrus,Original,Drama,"Music, Performing Arts, School",2 hr.,PG-13 - Teens 13 or older,860,,,,0.75,20
Yuru Camp△ Season 2,Laid-Back Camp Season 2,8.52,1080,TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021","Half H.P Studio,       MAGES.,       DeNA","None found, add some",C-Station,Manga,Slice of Life,"CGDCT, Iyashikei",23 min. per ep.,PG-13 - Teens 13 or older,"3,063",Winter 2021,Thursdays at 23:00 (JST),,0.9,401
Spy x Family,,8.52,69,TV,12,Finished Airing,"Apr 9, 2022 to Jun 25, 2022","TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO animation,       Shueisha",Funimation,"Wit Studio,       CloverWorks",Manga,"Action, Award Winning, Comedy",Childcare,24 min. per ep.,PG-13 - Teens 13 or older,"39,372",Spring 2022,Saturdays at 23:00 (JST),Shounen,0.75,341
Sora yori mo Tooi Basho,A Place Further Than The Universe,8.52,441,TV,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018","Movic,       AT-X,       Sony Music Communications,       Docomo Anime Store,       Kadokawa Media House,       Kadokawa,       NewGin,       Crunchyroll SC Anime Fund","None found, add some",Madhouse,Original,"Adventure, Comedy, Drama",CGDCT,23 min. per ep.,PG-13 - Teens 13 or older,"14,134",Winter 2018,Tuesdays at 20:30 (JST),,0.81,254
Hotaru no Haka,Grave of the Fireflies,8.52,301,Movie,1,Finished Airing,16-Apr-88,"None found, add some","ADV Films,       Central Park Media,       Sentai Filmworks",Studio Ghibli,Novel,Drama,Historical,1 hr. 28 min.,PG-13 - Teens 13 or older,"8,147",,,,0.69,140
