Name,positive_ratio,total_reviews
"Ququ Bucai, Zaixia Yeguai 2nd Season",0.0,1
Musaigen no Phantom World,0.4318181818181818,88
Rayearth,0.4,5
Sengoku Basara: Judge End,0.5,6
Shisha no Teikoku,0.5,32
Ranma ½: Tendou-ke no Oyobidenai Yatsura!,1.0,109
Tennis no Oujisama: Mini Theater,0.0,0
Shouwa Monogatari,0.6666666666666666,3
Toaru Kagaku no Railgun: Motto Marutto Railgun,1.0,2
Suki tte Ii na yo.: Mei and Marshmallow,0.25,4
Tenpou Ibun: Ayakashi Ayashi,0.6,5
Stella no Mahou,0.2857142857142857,7
Versailles no Bara: Seimei Aru Kagiri Aishite,0.0,0
YAT Anshin! Uchuu Ryokou 2,0.0,0
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",0.2,5
Zettai Muteki Raijin-Oh,0.0,0
Zone of the Enders: 2167 Idolo,1.0,1
Yuusha Shirei Dagwon,1.0,2
Anhe Zhuan,0.0,0
Beyblade X,0.6,5
City Hunter Movie: Tenshi no Namida,0.0,0
Binbou Shimai Monogatari,0.8333333333333334,6
Galaxy Angel S,0.0,0
Futakoi Alternative,0.4,10
Ganbare! Kickers,0.0,1
Dog Days,0.6216216216216216,37
3D Kanojo: Real Girl,0.4778761061946903,113
Genji Monogatari Sennenki,1.0,5
Huyao Xiao Hongniang: Mu Tiancheng,0.0,0
Grimm Kumikyoku,0.7222222222222222,18
IS: Infinite Stratos 2 - World Purge-hen,0.2,5
Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,0.0,1
Bakusou Kyoudai Let's & Go,0.5,2
Gokukoku no Brynhildr,0.25961538461538464,104
B-gata H-kei,0.64,150
Delicious Party♡Precure,0.25,420
Captain Tsubasa: Europe Daikessen,0.0,0
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,0.0,0
Cobra The Animation: The Psycho-Gun,1.0,3
Dragon Half,0.6,20
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,0.6111111111111112,18
Daitoshokan no Hitsujikai,0.44,25
Dragon Quest: Yuusha Abel Densetsu,1.0,2
Dream Festival! R,1.0,1
Fei Ren Zai 1st Season Part 4,0.0,0
Gekitou! Crush Gear Turbo,0.5,4
Dual! Parallel Runrun Monogatari Special,0.0,1
Hibike! Euphonium: Suisougaku-bu no Nichijou,0.25,4
IDOLiSH7 Special Program: Kimi to Furikaeranai to!,0.0,0
Ikkyuu-san,0.75,4
Kanamemo,0.47058823529411764,17
Hanebado!,0.4946236559139785,93
Koneko no Chi: Ponponra Daibouken,1.0,3
Montana Jones,0.0,0
Kouya no Kotobuki Hikoutai,0.6,15
