Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Manga Doushite Monogatari,,6.09,16120,9039,509,TV,100,Finished Airing,"Apr 7, 1984 to Mar 29, 1986",Spring 1984,Unknown,DAX Production,"None found, add some","None found, add some",Unknown,"Adventure, Comedy",25 min. per ep.,G - All Ages,0,Educational,Kids
Maze☆Bakunetsu Jikuu: Hot Springs,Maze: The Mega-Burst Space - Hot Springs,6.09,12554,9040,1,Special,1,Finished Airing,1998,,,"None found, add some","None found, add some","None found, add some",Manga,"Action, Comedy, Fantasy, Ecchi",22 min.,None,0,Magical Sex Shift,
Mofa Ya Ma,Grandma and Her Ghosts,6.09,16817,9041,439,Movie,1,Finished Airing,"Apr 3, 1998",,,"None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy",1 hr. 19 min.,PG-13 - Teens 13 or older,1,,
Nekota no Koto ga Kininatte Shikatanai. (ONA),,6.09,11542,9042,1,ONA,4,Finished Airing,"Apr 7, 2015 to Apr 28, 2015",,,"None found, add some","None found, add some","None found, add some",Manga,,1 min. per ep.,G - All Ages,2,School,Shoujo
Norageki!,Five Numbers!,6.09,6212,9043,10,OVA,1,Finished Airing,"Jan 22, 2011",,,Showgate,Sentai Filmworks,Sunrise,Original,"Mystery, Sci-Fi",24 min.,PG-13 - Teens 13 or older,3,Space,
Okawari-Boy Starzan-S,,6.09,13208,9044,1,TV,34,Finished Airing,"Jan 7, 1984 to Aug 25, 1984",Winter 1984,Saturdays at 18:30 (JST),"None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",23 min. per ep.,G - All Ages,1,,
Project Zeorymer,Hades Project Zeorymer,6.09,7435,9045,7,OVA,4,Finished Airing,"Nov 26, 1988 to Feb 21, 1990",,,"Youmex,       Toshiba EMI",Central Park Media,"AIC,       Artmic",Manga,"Action, Drama, Sci-Fi",28 min. per ep.,R+ - Mild Nudity,21,"Mecha, Psychological",
Puchimas!: Petit iDOLM@STER (OVA),,6.09,13068,9047,1,OVA,2,Finished Airing,"Mar 26, 2018 to Nov 26, 2018",,,"None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",11 min. per ep.,G - All Ages,1,"Idols (Female), Music, Parody",Seinen
Psychoarmor Govarian,,6.09,11721,9046,1,TV,26,Finished Airing,"Jul 6, 1983 to Dec 28, 1983",Summer 1983,Unknown,"TV Tokyo,       Dynamic Planning",Discotek Media,Knack Productions,Original,"Action, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,4,"Mecha, Super Power",
Sacred Seven: Shirogane no Tsubasa Picture Drama,Sacred Seven: Wings of the Silver Moon Picture Drama,6.09,10147,9048,2,Special,2,Finished Airing,"Apr 20, 2012",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Comedy, Sci-Fi",12 min. per ep.,PG-13 - Teens 13 or older,0,"School, Super Power",
