Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Chokotto Anime Kemono Friends 3,,5.91,11525,9911,1,ONA,26,Finished Airing,"Apr 2, 2019 to Sep 17, 2021",,,"None found, add some","None found, add some","None found, add some",Game,"Adventure, Comedy, Fantasy",1 min. per ep.,PG - Children,2,,
DD Hokuto no Ken 2 Ichigo Aji+,DD Fist of the North Star 2: Strawberry Flavor Plus,5.91,9380,9912,3,TV,12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",Fall 2015,Wednesdays at 01:35 (JST),"None found, add some","None found, add some",Ajia-do,Manga,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,1,"Parody, School",Seinen
Divergence Eve,,5.91,5703,9913,13,TV,13,Finished Airing,"Jul 2, 2003 to Sep 24, 2003",Summer 2003,Wednesdays at 10:00 (JST),"Media Factory,       Imagica,       KlockWorx","ADV Films,       Sentai Filmworks",Radix,Original,"Adventure, Drama, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,14,"Mecha, Military, Space",
Futari Daka,,5.91,12334,9914,1,TV,36,Finished Airing,"Sep 20, 1984 to Jul 12, 1985",Fall 1984,Unknown,Fuji TV,"None found, add some",Kokusai Eigasha,Manga,,25 min. per ep.,G - All Ages,2,Racing,Shounen
Futari no Oujisama,The Two Princes,5.91,16218,9915,497,Movie,1,Finished Airing,12-Jul-96,,,Shinano Kikaku,"None found, add some",Toei Animation,Unknown,"Fantasy, Slice of Life",26 min.,G - All Ages,0,,
Gegege no Kitarou: Kitarou Tanjou-hen,,5.91,15654,9916,561,TV Special,1,Finished Airing,1980,,,"None found, add some","None found, add some",Toei Animation,Manga,Supernatural,3 min.,G - All Ages,0,,
Hello Kitty no Yume no Oshiro no Oujisama,Hello Kitty in The Prince in His Dream Castle,5.91,16103,9917,511,OVA,1,Finished Airing,21-Feb-94,,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,30 min.,G - All Ages,0,,Kids
Holy Knight,,5.91,3400,9918,43,OVA,2,Finished Airing,"Mar 21, 2012 to May 25, 2012",,,Cammot,Media Blasters,Lilix,Manga,"Fantasy, Ecchi",28 min. per ep.,R+ - Mild Nudity,50,"School, Vampire",Seinen
Hong Ling Jin Xia,,5.91,15981,9919,524,ONA,1,Finished Airing,27-Sep-10,,,"None found, add some","None found, add some","None found, add some",Original,Action,4 min.,PG - Children,0,School,
Hoshi Neko Fullhouse,Star Cat Fullhouse,5.91,11620,9920,1,OVA,4,Finished Airing,"Jun 16, 1989 to Dec 25, 1989",,,Walkers Company,"None found, add some",Artland,Original,"Comedy, Romance, Sci-Fi",30 min. per ep.,R+ - Mild Nudity,4,,
