Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Hokuto no Ken: Raoh Gaiden Junai-hen,Fist of the North Star: Raoh Side Story Junai Arc,7.45,5952,2060,12,Movie,1,Finished Airing,"Mar 11, 2006",North Stars Pictures,Discotek Media,TMS Entertainment,Manga,"Action, Adventure",1 hr. 35 min.,R - 17+ (violence & profanity),20,,,Martial Arts,Shounen
Aishiteruze Baby★★,,7.44,2043,2062,103,TV,26,Finished Airing,"Apr 3, 2004 to Oct 9, 2004","Animax,       Toei Video,       Sunny Side Up","None found, add some",TMS Entertainment,Manga,"Comedy, Drama, Romance",25 min. per ep.,PG-13 - Teens 13 or older,557,Spring 2004,Sundays at 19:00 (JST),Childcare,Shoujo
Bleach Movie 1: Memories of Nobody,Bleach the Movie: Memories of Nobody,7.44,869,2063,282,Movie,1,Finished Airing,"Dec 16, 2006","TV Tokyo,       Dentsu,       Shueisha",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",1 hr. 33 min.,PG-13 - Teens 13 or older,638,,,,Shounen
Aggressive Retsuko (ONA) 5th Season,Aggretsuko (ONA) 5th Season,7.44,4195,2061,28,ONA,10,Finished Airing,"Feb 16, 2023",Sanrio,"None found, add some",Fanworks,Other,Comedy,18 min. per ep.,PG-13 - Teens 13 or older,55,,,"Anthropomorphic, Workplace",
Days: Touin Gakuen-sen!,,7.44,4506,2065,24,OVA,3,Finished Airing,"Mar 16, 2018 to Jul 17, 2018","None found, add some","None found, add some",MAPPA,Manga,Sports,26 min. per ep.,PG-13 - Teens 13 or older,48,,,"School, Team Sports",Shounen
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",7.44,1671,2064,135,Special,1,Finished Airing,"Sep 17, 2014",Lantis,Sentai Filmworks,Kyoto Animation,Light novel,"Comedy, Drama, Romance",23 min.,PG-13 - Teens 13 or older,121,,,School,
Digimon Adventure tri. 2: Ketsui,Digimon Adventure tri. Determination,7.44,2373,2066,81,Movie,1,Finished Airing,"Mar 12, 2016","Bandai,       Ai Addiction",Shout! Factory,Toei Animation,Original,"Action, Adventure, Comedy, Drama",1 hr. 28 min.,PG-13 - Teens 13 or older,90,,,,
Dragon Ball Super,,7.44,216,2067,834,TV,131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018","Yomiko Advertising,       Fuji TV",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"10,588",Summer 2015,Sundays at 09:00 (JST),"Martial Arts, Super Power",Shounen
Gabriel DropOut,,7.44,495,2068,458,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017","AT-X,       Sony Music Communications,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some",Doga Kobo,Manga,"Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,"3,135",Winter 2017,Mondays at 22:30 (JST),"CGDCT, Mythology, School",Shounen
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,How a Realist Hero Rebuilt the Kingdom Part 2,7.44,975,2069,251,TV,13,Finished Airing,"Jan 9, 2022 to Apr 3, 2022","Magic Capsule,       KlockWorx,       King Records,       Overlap,       WOWMAX,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"Action, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,"1,395",Winter 2022,Sundays at 01:30 (JST),"Harem, Isekai, Military",
