Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
◯,,3.79,10468,13261,2,ONA,1,Finished Airing,2010,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,1 min.,R+ - Mild Nudity,2,,,
Pop,,3.79,12117,13262,1,Movie,1,Finished Airing,1974,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,Comedy,,2 min.,G - All Ages,1,,,
Ninja Collection,,3.78,5217,13263,16,TV,13,Finished Airing,"Jul 13, 2020 to Oct 26, 2020","TV Tokyo,       TV Tokyo Music","None found, add some","ILCA,       DRAWIZ,       Toho Interactive Animation",Original,"Horror, Supernatural",,4 min. per ep.,PG-13 - Teens 13 or older,28,Summer 2020,Mondays at 03:05 (JST),
Horny,,3.78,13177,13264,1,Special,1,Finished Airing,2017,MTV Japan,"None found, add some","None found, add some",Original,"Avant Garde, Ecchi",,15 sec.,R+ - Mild Nudity,0,,,
Dog Soldier,,3.77,10427,13265,2,OVA,1,Finished Airing,"Oct 8, 1989","Movic,       Sony Music Entertainment",Central Park Media,"J.C.Staff,       animate Film",Manga,Action,Military,44 min.,R - 17+ (violence & profanity),3,,,Seinen
Yami no Teio: Kyuuketsuki Dracula,Dracula: Sovereign of the Damned,3.75,8750,13266,4,TV Special,1,Finished Airing,"Aug 19, 1980","None found, add some","None found, add some",Toei Animation,Other,Horror,Vampire,1 hr. 34 min.,R - 17+ (violence & profanity),7,,,
Yasashii Kinyoubi,Sweet Friday,3.74,12676,13267,1,Movie,1,Finished Airing,1975,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,3 min.,R+ - Mild Nudity,1,,,
Nendo no Tatakai (2019),Battle of Clay,3.73,12161,13268,1,ONA,1,Finished Airing,"May 22, 2019","None found, add some","None found, add some","None found, add some",Original,"Action, Comedy",,1 min.,PG - Children,1,,,
Kanojo no Dokushinsha-tachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu,The Bride Stripped Bare by Her Bachelors,3.72,13393,13269,1,Movie,1,Finished Airing,1972,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,3 min.,R+ - Mild Nudity,0,,,
Crayon Angel,,3.72,12739,13270,1,Movie,1,Finished Airing,1975,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,2 min.,R+ - Mild Nudity,0,,,
G-senjou no Higeki,,3.67,12323,13271,1,Movie,1,Finished Airing,1969,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,"Avant Garde, Comedy",,9 min.,PG-13 - Teens 13 or older,1,,,
CCW: Crazy Clay Wrestling,Crazy Clay Wrestling,3.66,10302,13273,2,ONA,1,Finished Airing,"Apr 21, 2007","None found, add some","None found, add some","None found, add some",Original,Sports,Combat Sports,6 min.,PG-13 - Teens 13 or older,4,,,
Kennel Tokorozawa,,3.67,9366,13272,3,OVA,1,Finished Airing,"Feb 21, 1992",Fuji TV,"None found, add some",Animation 21,Manga,"Comedy, Ecchi","Pets, School",33 min.,R+ - Mild Nudity,14,,,Seinen
Good-by Marilyn,,3.65,13091,13274,1,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,4 min.,R+ - Mild Nudity,0,,,
Aos,,3.64,10487,13275,2,Movie,1,Finished Airing,1964,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,"Avant Garde, Fantasy",,9 min.,R+ - Mild Nudity,1,,,
No Littering,,3.63,8675,13276,4,ONA,1,Finished Airing,"Oct 26, 2012","None found, add some","None found, add some","None found, add some",Original,"Comedy, Horror",,1 min.,R - 17+ (violence & profanity),0,,,
Red Colored Bridge,,3.60,12680,13277,1,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,5 min.,R+ - Mild Nudity,2,,,
Walking Man,,3.60,13607,13278,1,Movie,1,Finished Airing,2002,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,6 min.,G - All Ages,0,,,
Spectral Force,,3.59,10421,13279,2,OVA,2,Finished Airing,"Nov 25, 1998 to Mar 25, 1999",Idea Factory,ADV Films,"None found, add some",Game,Fantasy,Mythology,24 min. per ep.,PG-13 - Teens 13 or older,2,,,
Generation of Chaos III: Toki no Fuuin,,3.59,11814,13281,1,OVA,2,Finished Airing,"May 21, 2003 to Jun 25, 2003",Idea Factory,"None found, add some","None found, add some",Game,"Action, Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,1,,,
Yo! Daitouryou Trap-kun,"Hey, President Trap-kun!",3.59,7089,13280,7,ONA,2,Finished Airing,"Mar 15, 2017 to Mar 22, 2017",Shogakukan,"None found, add some",DLE,Original,Comedy,Parody,44 sec. per ep.,PG-13 - Teens 13 or older,20,,,
Dead Girl Trailer,,3.56,10574,13282,2,ONA,1,Finished Airing,"May 22, 2011","None found, add some","None found, add some","None found, add some",Original,"Horror, Supernatural, Suspense",Parody,1 min.,R - 17+ (violence & profanity),0,,,
Dead World,,3.56,10941,13283,2,ONA,1,Finished Airing,"Sep 16, 2016","None found, add some","None found, add some","None found, add some",Original,Horror,,1 min.,R - 17+ (violence & profanity),1,,,
4.Eyes,,3.55,12819,13284,1,Movie,1,Finished Airing,1975,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,9 min.,R+ - Mild Nudity,0,,,
Uju Heukgisa,Captain of Cosmos,3.55,12812,13285,1,Movie,1,Finished Airing,"Aug 2, 1979","None found, add some","None found, add some","None found, add some",Original,"Action, Sci-Fi",Space,1 hr. 20 min.,PG - Children,2,,,
C.L.A.Y.,,3.54,9838,13286,3,ONA,1,Finished Airing,"May 27, 2012","None found, add some","None found, add some","None found, add some",Original,Horror,,1 min.,R - 17+ (violence & profanity),0,,,
Yume 10 Yoru,Ten Nights' Dreams,3.51,13196,13287,1,Movie,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,6 min.,R+ - Mild Nudity,1,,,
