Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Bikini Warriors,,5.12,2202,12510,92,TV,12,Finished Airing,"Jul 8, 2015 to Sep 23, 2015",Hobby Japan,Funimation,"feel.,       PRA",Other,Parody,4 min. per ep.,R+ - Mild Nudity,175,"Comedy, Fantasy, Ecchi",,Summer 2015,Wednesdays at 01:35 (JST)
Hendo Garden,,5.12,18701,12511,300,Special,1,Finished Airing,"Jun 20, 2015","None found, add some","None found, add some","None found, add some",Original,Music,2 min.,G - All Ages,0,,,,
Kid's Castle,,5.12,13862,12512,931,Movie,1,Finished Airing,1995,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,,4 min.,G - All Ages,0,Comedy,,,
Kimera,,5.12,6900,12513,8,OVA,1,Finished Airing,"Jul 31, 1996",Studio Tulip,ADV Films,animate Film,Manga,Vampire,47 min.,R+ - Mild Nudity,10,"Action, Boys Love, Horror, Sci-Fi, Supernatural",,,
Omake,Pieces,5.12,14311,12514,818,Movie,1,Finished Airing,2003,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,,2 min.,G - All Ages,0,Comedy,,,
Kataribe Shoujo Honoka,,5.11,13861,12515,932,ONA,1,Finished Airing,"Jul 28, 2015","None found, add some","None found, add some",Ishikawa Pro,Original,,10 min.,G - All Ages,0,"Slice of Life, Supernatural",,,
Kigurumikku V3,,5.11,10808,12516,2,ONA,3,Finished Airing,"Apr 5, 2009 to May 20, 2009",AIC,"None found, add some",AIC ASTA,Unknown,"Mecha, Parody",12 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Ecchi",,,
Mameshi-Pamyu-Pamyu,,5.11,15796,12518,544,Special,9,Finished Airing,2012 to 2013,"None found, add some","None found, add some","None found, add some",Original,Parody,30 sec. per ep.,G - All Ages,0,Comedy,,,
Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,,5.11,15087,12517,647,Special,1,Finished Airing,1979,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,1,Action,,,
Matsuda-ke Curry Battle,,5.11,17701,12519,372,Special,1,Finished Airing,Oct 2018,"None found, add some","None found, add some","None found, add some",Original,Music,2 min.,G - All Ages,0,Gourmet,,,
Medama Oyaji no April Fools',,5.11,14005,12520,891,Special,3,Finished Airing,"Apr 1, 2018",Fuji TV,"None found, add some",Toei Animation,Manga,"Mythology, Parody",14 sec. per ep.,G - All Ages,1,,,,
Namake Gitsune,The Lazy Fox,5.11,16381,12521,480,Movie,1,Finished Airing,1941,"None found, add some","None found, add some","None found, add some",Unknown,,11 min.,G - All Ages,0,,,,
"On a Forest, in the Air",,5.11,17323,12523,399,ONA,1,Finished Airing,"Aug 13, 2014","None found, add some","None found, add some","None found, add some",Original,,20 sec.,G - All Ages,0,Avant Garde,,,
Oira no Ski,My Ski Trip,5.11,13099,12522,1,Movie,1,Finished Airing,"Mar 7, 1930","None found, add some","None found, add some","None found, add some",Original,,9 min.,G - All Ages,0,"Comedy, Sports",,,
Pure Aluminum: Sunoko-tan.,,5.11,16506,12524,468,OVA,1,Finished Airing,"Dec 29, 2008","None found, add some","None found, add some",Ishikawa Pro,Other,Music,1 min.,G - All Ages,0,Comedy,,,
Sin: The Movie,,5.11,8074,12525,5,OVA,1,Finished Airing,"Oct 24, 2000","None found, add some",ADV Films,Phoenix Entertainment,Game,"Adult Cast, Detective, Gore",55 min.,R - 17+ (violence & profanity),4,"Action, Horror, Sci-Fi, Supernatural",,,
Soul Reviver,,5.11,14354,12526,808,Special,1,Finished Airing,"Apr 30, 2013",Digital Frontier,"None found, add some","None found, add some",Manga,,1 min.,PG-13 - Teens 13 or older,0,"Action, Supernatural",Seinen,,
Wanna-Be's,,5.11,9660,12527,3,OVA,1,Finished Airing,"Dec 25, 1986","Movic,       Sony Music Entertainment",Central Park Media,"AIC,       Artmic",Original,Combat Sports,45 min.,R+ - Mild Nudity,4,"Comedy, Sports",,,
Wolf Guy,,5.11,11540,12528,1,OVA,6,Finished Airing,"Dec 17, 1992 to Jun 21, 1993","None found, add some","None found, add some",J.C.Staff,Manga,Military,27 min. per ep.,R - 17+ (violence & profanity),2,"Action, Sci-Fi",,,
au x Rope,,5.11,16694,12530,449,ONA,3,Finished Airing,"Jul 10, 2012 to Aug 31, 2012","None found, add some","None found, add some","None found, add some",Unknown,,2 min. per ep.,G - All Ages,0,"Comedy, Slice of Life",,,
Ahiru Rikusentai,Duck Brigade,5.11,12804,12529,1,Movie,1,Finished Airing,1940,Geijutsu Eigasha,"None found, add some","None found, add some",Original,"Historical, Military",13 min.,G - All Ages,3,Action,Kids,,
Barom One,Barom 1,5.11,10314,12531,2,TV,13,Finished Airing,"Dec 7, 2002 to Mar 22, 2003",AT-X,"None found, add some",E&G Films,Manga,,24 min. per ep.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi, Supernatural",Shounen,Winter 2003,Unknown
