Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,Can I Make Your Ears Happy in 180 Seconds?,5.31,3685,12118,37,TV,12,Finished Airing,"Oct 15, 2021 to Dec 31, 2021","None found, add some","None found, add some","EKACHI EPILKA,       Indivision",Original,Slice of Life,,3 min. per ep.,PG-13 - Teens 13 or older,206,,Fall 2021,Fridays at 01:00 (JST)
Mahou no Pen,,5.31,15542,12120,577,Movie,1,Finished Airing,1946,"None found, add some","None found, add some","None found, add some",Original,,Historical,10 min.,G - All Ages,0,,,
Ikeike! Momon-chan Specials,,5.31,15048,12119,655,Special,3,Finished Airing,"Dec 12, 2012 to Mar 6, 2013","None found, add some","None found, add some","None found, add some",Original,Comedy,,1 min. per ep.,G - All Ages,0,,,
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,,5.31,9558,12121,3,TV,10,Finished Airing,"Jul 6, 2013 to Sep 7, 2013","AIC,       AIR AGENCY","None found, add some",AIC Frontier,Original,Comedy,Mahou Shoujo,4 min. per ep.,PG-13 - Teens 13 or older,2,,Summer 2013,Unknown
Majuu Sensen: The Apocalypse,Beast Fighter: The Apocalypse,5.31,9983,12122,3,TV,13,Finished Airing,"Feb 23, 2003 to May 18, 2003",Dynamic Planning,Discotek Media,Magic Bus,Manga,"Action, Supernatural","Mythology, Super Power",24 min. per ep.,R+ - Mild Nudity,2,Shounen,Winter 2003,Unknown
Makeruna!! Aku no Gundan!,,5.31,11401,12123,2,TV,12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",Bushiroad,"None found, add some",Tatsunoko Production,Manga,Comedy,,4 min. per ep.,G - All Ages,1,Shounen,Spring 2017,Wednesdays at 22:45 (JST)
Ousama ni Natta Kitsune,,5.31,18119,12124,338,Movie,1,Finished Airing,1959,Dentsu,"None found, add some","None found, add some",Original,,,19 min.,G - All Ages,0,,,
Ryuu ga Gotoku Online x Taka no Tsume,,5.31,16729,12125,446,ONA,2,Finished Airing,"Nov 2, 2018","None found, add some","None found, add some",DLE,Game,Comedy,"Parody, Video Game",3 min. per ep.,G - All Ages,0,,,
The Third Eye,,5.31,18999,12126,282,Movie,1,Finished Airing,1999,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,R+ - Mild Nudity,1,,,
Tie Shan Gongzhu,,5.31,12778,12127,1,Movie,1,Finished Airing,"Jan 1, 1941","None found, add some","None found, add some","None found, add some",Other,"Action, Adventure, Fantasy",,1 hr. 13 min.,G - All Ages,0,,,
