,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
21,Spirit of Wonder: Shounen Kagaku Club,,6.51,8599,6740,4,OVA,2,Finished Airing,"Jan 25, 2001 to Jul 25, 2001",,,Bandai Visual,Bandai Entertainment,Ajia-do,Manga,"Drama, Sci-Fi",Space,Seinen,30 min. per ep.,R+ - Mild Nudity,0
22,Tales of the Abyss Special Fan Disc,,6.51,8818,6741,4,Special,2,Finished Airing,"Dec 22, 2009",,,"None found, add some","None found, add some",Sunrise,Game,"Comedy, Slice of Life",,,3 min. per ep.,PG-13 - Teens 13 or older,0
23,Trava: Fist Planet,,6.51,5201,6742,17,OVA,4,Finished Airing,"Mar 2, 2002 to Jul 3, 2002",,,Grasshoppa!,"None found, add some",Madhouse,Original,"Action, Comedy, Sci-Fi","Mecha, Space",,13 min. per ep.,PG-13 - Teens 13 or older,51
24,Video Senshi Lezarion,Video Warrior Laserion,6.51,11816,6743,1,TV,45,Finished Airing,"Mar 4, 1984 to Feb 3, 1985",Spring 1984,Unknown,"None found, add some",Discotek Media,Toei Animation,Unknown,"Action, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,1
25,Yami Shibai 2,Theatre of Darkness: Yamishibai 2,6.51,3154,6744,49,TV,13,Finished Airing,"Jul 7, 2014 to Sep 29, 2014",Summer 2014,Unknown,TV Tokyo,Sentai Filmworks,ILCA,Original,"Avant Garde, Horror, Supernatural",,,4 min. per ep.,PG-13 - Teens 13 or older,32
26,Yami to Boushi to Hon no Tabibito,"Yamibo: Darkness, The Hat and the Travelers of the Books",6.51,4043,6745,30,TV,13,Finished Airing,"Oct 2, 2003 to Dec 25, 2003",Fall 2003,Unknown,"None found, add some",Media Blasters,Studio Deen,Visual novel,"Adventure, Fantasy, Girls Love, Mystery, Ecchi",,,24 min. per ep.,R+ - Mild Nudity,110
27,Yatterman,,6.51,8615,6746,4,TV,60,Finished Airing,"Jan 14, 2008 to Sep 27, 2009",Winter 2008,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Original,"Adventure, Comedy",Parody,,25 min. per ep.,G - All Ages,7
28,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho,,6.51,6406,6747,10,OVA,4,Finished Airing,1993 to 1996,,,"None found, add some",Funimation,Pierrot,Manga,Comedy,,,2 min. per ep.,PG-13 - Teens 13 or older,6
29,Snack Basue,,6.50,6995,6748,8,TV,13,Finished Airing,"Jan 13, 2024 to Apr 5, 2024",Winter 2024,Saturdays at 01:05 (JST),"Sotsu,       Pony Canyon,       Bit grooove promotion,       BS Asahi","None found, add some",Studio PuYUKAI,Manga,Comedy,"Adult Cast, Workplace",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,14
30,Street Fighter Zero The Animation,Street Fighter Alpha: The Movie,6.50,5213,6749,16,Movie,1,Finished Airing,"Dec 22, 1999",,,Capcom,Manga Entertainment,Plum,Game,"Action, Drama","Martial Arts, Super Power",,1 hr. 30 min.,PG-13 - Teens 13 or older,27
