,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
34,Battle Athletess Daiundoukai,Battle Athletes,6.45,7839,7048,6,OVA,6,Finished Airing,"May 25, 1997 to Jun 25, 1998","TV Tokyo,       Genco,       Pioneer LDC","Discotek Media,       Geneon Entertainment USA",AIC,Original,"Comedy, Sci-Fi, Sports, Ecchi",Space,,32 min. per ep.,PG-13 - Teens 13 or older,7,,
35,Boku no Chikyuu wo Mamotte: Kiniro no Toki Nagarete,Please Save My Earth: The Passing of the Golden Age,6.45,11473,7049,1,Special,1,Finished Airing,"Oct 24, 2001",Victor Entertainment,"None found, add some",Production I.G,Manga,"Drama, Romance, Sci-Fi",Music,Shoujo,29 min.,PG-13 - Teens 13 or older,1,,
36,Brave Beats,,6.45,8504,7050,5,TV,22,Finished Airing,"Oct 11, 2015 to Mar 27, 2016","None found, add some","None found, add some",Bandai Namco Pictures,Original,Adventure,Music,,23 min. per ep.,G - All Ages,21,Fall 2015,Sundays at 07:00 (JST)
37,Clockwork Planet,,6.45,1480,7051,159,TV,12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017","TBS,       Kodansha,       NBCUniversal Entertainment Japan,       NichiNare,       GYAO!,       Akatsuki",Funimation,Xebec,Light novel,"Fantasy, Sci-Fi",,,24 min. per ep.,PG-13 - Teens 13 or older,434,Spring 2017,Fridays at 01:58 (JST)
38,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,Code Geass: Lelouch of the Rebellion - Nunnally in Wonderland,6.45,2563,7052,72,OVA,1,Finished Airing,"Jul 27, 2012","None found, add some","None found, add some",Sunrise,Original,"Comedy, Fantasy",Parody,,28 min.,PG-13 - Teens 13 or older,38,,
39,Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,,6.45,7447,7053,7,TV Special,1,Finished Airing,"Jun 3, 2012","None found, add some","None found, add some",Production I.G,Original,Sci-Fi,,,10 min.,PG-13 - Teens 13 or older,3,,
40,Crayon Shin-chan Gaiden: O-o-o no Shinnosuke,,6.45,12493,7054,1,ONA,13,Finished Airing,"May 31, 2017 to Aug 23, 2017","None found, add some","None found, add some","None found, add some",Manga,"Comedy, Supernatural",Parody,Seinen,7 min. per ep.,G - All Ages,3,,
41,Death March kara Hajimaru Isekai Kyousoukyoku,Death March to the Parallel World Rhapsody,6.45,439,7055,510,TV,12,Finished Airing,"Jan 11, 2018 to Mar 29, 2018","Sotsu,       AT-X,       DIVE II Entertainment,       Tokyo MX,       Avex Pictures,       BS11,       Kadokawa,       KLab",Funimation,"SILVER LINK.,       Connect",Light novel,"Adventure, Fantasy","Harem, Isekai",,23 min. per ep.,PG-13 - Teens 13 or older,"1,833",Winter 2018,Thursdays at 23:30 (JST)
42,Denshin Mamotte Shugogetten,,6.45,9158,7056,4,OVA,8,Finished Airing,"Jun 23, 2000 to Nov 30, 2001","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Fantasy, Romance",,Shounen,30 min. per ep.,PG-13 - Teens 13 or older,6,,
43,Exception,,6.45,7018,7057,8,ONA,8,Finished Airing,"Oct 13, 2022","Tatsunoko Production,       Khaki","None found, add some","Bakken Record,       5 Inc.",Original,Sci-Fi,Space,,29 min. per ep.,R+ - Mild Nudity,16,,
