Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
Hakozume: Kouban Joshi no Gyakushuu,Police in a Pod,7.17,3037,3379,53,TV,13,Finished Airing,"Jan 5, 2022 to Mar 30, 2022","Magic Capsule,       Kadokawa",Funimation,Madhouse,Manga,Comedy,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,167,"Adult Cast, Workplace",Winter 2022,Wednesdays at 23:30 (JST)
Jashin-chan Dropkick Episode 12,Dropkick On My Devil! Episode 12,7.17,3866,3381,33,ONA,1,Finished Airing,"Oct 1, 2018","BookLive,       ibis Capital Partners,       Global Solutions","None found, add some",Nomad,Web manga,"Comedy, Supernatural",,23 min.,PG-13 - Teens 13 or older,17,"CGDCT, Gag Humor, Mythology",,
High Card,,7.17,1911,3380,114,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023","TMS Entertainment,       Sammy,       Kadokawa,       NetEase","None found, add some",Studio Hibari,Mixed media,"Action, Fantasy",,23 min. per ep.,R - 17+ (violence & profanity),570,"Adult Cast, Organized Crime, Super Power",Winter 2023,Mondays at 20:00 (JST)
Kiddy Grade,,7.17,3243,3383,46,TV,24,Finished Airing,"Oct 9, 2002 to Mar 19, 2003",gimik,Funimation,Gonzo,Original,"Action, Sci-Fi",,23 min. per ep.,R+ - Mild Nudity,255,"Mecha, Space, Super Power",Fall 2002,Unknown
Kidou Senshi Gundam 00: Tenshi-tachi no Kiseki,,7.17,7228,3384,7,Special,1,Finished Airing,"Sep 25, 2008","None found, add some",Bandai Entertainment,Sunrise,Original,"Action, Sci-Fi",,24 min.,PG-13 - Teens 13 or older,5,Mecha,,
Kanashimi no Belladonna,Belladonna of Sadness,7.17,3102,3382,51,Movie,1,Finished Airing,"Jun 30, 1973","None found, add some","Discotek Media,       Cinelicious Pics",Mushi Production,Book,"Avant Garde, Drama",,1 hr. 27 min.,R+ - Mild Nudity,737,Historical,,
Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,7.17,1974,3385,109,TV,50,Finished Airing,"Oct 9, 2004 to Oct 1, 2005","Sotsu,       Mainichi Broadcasting System,       Sony Music Entertainment","Nozomi Entertainment,       Bandai Entertainment,       NYAV Post",Sunrise,Original,"Action, Drama, Romance, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"1,103","Mecha, Military, Space",Fall 2004,Unknown
Kimi ni Todoke: Kataomoi,Kimi ni Todoke: From Me to You - Unrequited Love,7.17,2461,3387,77,TV Special,1,Finished Airing,"Jan 5, 2011","None found, add some","NIS America, Inc.",Production I.G,Manga,Romance,Shoujo,23 min.,PG-13 - Teens 13 or older,51,,,
Kimi ga Nozomu Eien,Rumbling Hearts,7.17,1610,3386,143,TV,14,Finished Airing,"Oct 5, 2003 to Jan 4, 2004","Lantis,       Media Factory,       Age",Funimation,Studio Fantasia,Visual novel,"Drama, Romance",,23 min. per ep.,R+ - Mild Nudity,"1,061",Love Polygon,Fall 2003,Sundays at 00:50 (JST)
Kono Bijutsu-bu ni wa Mondai ga Aru!,This Art Club Has a Problem!,7.17,789,3388,306,TV,12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016","TBS,       DAX Production,       ASCII Media Works,       King Records",Maiden Japan,feel.,Manga,"Comedy, Romance",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,800,"School, Visual Arts",Summer 2016,Fridays at 02:28 (JST)
