,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
90,Magical Nyan Nyan Taruto,Magical Meow Meow Taruto,6.18,7045,8554,8,TV,12,Finished Airing,"Jul 5, 2001 to Sep 27, 2001","Bandai Visual,       Dentsu",Bandai Entertainment,"Madhouse,       TNK",Manga,Comedy,22 min. per ep.,G - All Ages,8,Summer 2001,Unknown,,
91,Minori Scramble!,,6.18,9518,8555,3,OVA,1,Finished Airing,"Feb 15, 2012",Aniplex,"None found, add some",ufotable,Manga,Comedy,39 min.,G - All Ages,0,,,,
92,Nameko-ke no Ichizoku,The Nameko Families,6.18,13344,8556,1,OVA,13,Finished Airing,"Dec 20, 2013 to Jul 16, 2014","Yomiko Advertising,       BeeWorks","None found, add some",drop,Game,"Comedy, Slice of Life",5 min. per ep.,G - All Ages,3,,,,
93,Nanatsu no Taizai: Ensa no Edinburgh,The Seven Deadly Sins: Grudge of Edinburgh,6.18,3736,8557,36,ONA,1,Finished Airing,"Dec 20, 2022","None found, add some","None found, add some","Marvy Jack,       Alfred Imageworks",Manga,"Action, Adventure, Fantasy",52 min.,PG-13 - Teens 13 or older,115,,,,Shounen
94,New Dream Hunter Rem: Setsuriku no Mudenmekyu,,6.18,10056,8558,3,OVA,1,Finished Airing,"Dec 16, 1992",Studio Zain,"None found, add some","None found, add some",Original,"Action, Fantasy",50 min.,R - 17+ (violence & profanity),2,,,"Mahou Shoujo, Mythology",
95,"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",,6.18,13882,8559,924,TV Special,1,Finished Airing,"Dec 11, 1992",Nippon Television Network,"None found, add some",Shin-Ei Animation,Manga,"Comedy, Gourmet, Slice of Life",1 hr. 30 min.,PG-13 - Teens 13 or older,0,,,,Seinen
96,Onegai My Melody: Yuu & Ai,,6.18,12188,8560,1,Movie,1,Finished Airing,"Aug 11, 2012","TV Osaka,       Sanrio,       FuRyu","None found, add some",Studio Comet,Original,"Comedy, Fantasy",12 min.,PG - Children,0,,,,
97,Psychic Academy,,6.18,5984,8561,12,TV,24,Finished Airing,"Mar 29, 2002 to Sep 13, 2002","Starchild Records,       GANSIS",Tokyopop,E&G Films,Manga,"Comedy, Romance, Supernatural",11 min. per ep.,PG-13 - Teens 13 or older,11,Spring 2002,Unknown,Love Polygon,
98,Push,,6.18,10812,8562,2,Special,1,Finished Airing,"Aug 21, 1987","None found, add some","None found, add some","None found, add some",Original,,4 min.,PG-13 - Teens 13 or older,1,,,Parody,
99,Shin Koihime†Musou: Otome Tairan OVA Omake,,6.18,11404,8563,2,Special,1,Finished Airing,"Feb 2, 2011","None found, add some","None found, add some","None found, add some",Visual novel,"Adventure, Comedy, Fantasy, Ecchi",17 min.,R+ - Mild Nudity,0,,,,
100,Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,,6.18,14792,8564,700,Movie,1,Finished Airing,"Mar 14, 1987","None found, add some","None found, add some",Toei Animation,Original,"Fantasy, Slice of Life",30 min.,G - All Ages,0,,,Anthropomorphic,
